origin_city,destination_city,average_time
"Binghamton, NY","Detroit, MI",95.86
"Birmingham, AL","Atlanta, GA",122.59
"Birmingham, AL","Austin, TX",125.0
"Birmingham, AL","BWI Airport, MD",168.49
"Birmingham, AL","Charlotte, NC",138.72
"Birmingham, AL","Chicago, IL",128.94
"Birmingham, AL","Cincinnati, OH",149.1
"Birmingham, AL","Cleveland, OH",166.16
"Birmingham, AL","Dallas, TX",115.09
"Birmingham, AL","Denver, CO",121.17
"Birmingham, AL","Detroit, MI",185.79
"Birmingham, AL","Houston, TX",115.35
"Birmingham, AL","Huntsville, AL",45.0
"Birmingham, AL","Jacksonville, FL",128.62
"Birmingham, AL","Las Vegas, NV",128.76
"Birmingham, AL","Louisville, KY",123.45
"Birmingham, AL","Memphis, TN",72.21
"Birmingham, AL","Nashville, TN",51.85
"Birmingham, AL","New Orleans, LA",65.05
"Birmingham, AL","New York, NY",218.91
"Birmingham, AL","Newark, NJ",217.02
"Birmingham, AL","Orlando, FL",147.45
"Birmingham, AL","Phoenix, AZ",133.63
"Birmingham, AL","Rdu Airport, NC",144.32
"Birmingham, AL","Saint Louis, MO",79.1
"Birmingham, AL","Salt Lake City, UT",182.75
"Birmingham, AL","Tampa, FL",138.68
"Birmingham, AL","Washington, DC",176.44
"Bismarck, ND","Denver, CO",37.46
"Bismarck, ND","Minneapolis, MN",82.83
"Bloomington, IL","Atlanta, GA",166.27
"Bloomington, IL","Chicago, IL",60.34
"Bloomington, IL","Las Vegas, NV",105.0
"Bloomington, IL","Orlando, FL",196.6
"Blountville, TN","Atlanta, GA",74.72
"Blountville, TN","Cincinnati, OH",59.4
"Boise, ID","Chicago, IL",262.54
"Boise, ID","Denver, CO",105.98
"Boise, ID","Las Vegas, NV",36.65
"Boise, ID","Los Angeles, CA",68.21
"Boise, ID","Minneapolis, MN",224.8
"Boise, ID","Oakland, CA",36.32
"Boise, ID","Ontario, CA",57.56
"Boise, ID","Phoenix, AZ",72.76
"Boise, ID","Pittsburgh, PA",338.0
"Boise, ID","Portland, OR",9.52
"Boise, ID","Reno, NV",5.8
"Boise, ID","Salt Lake City, UT",63.52
"Boise, ID","San Diego, CA",69.89
"Boise, ID","San Francisco, CA",48.6
"Boise, ID","Seattle, WA",21.66
"Boise, ID","Spokane, WA",4.15
"Boston, MA","Atlanta, GA",173.98
"Boston, MA","Austin, TX",225.06
"Boston, MA","BWI Airport, MD",96.84
"Boston, MA","Bangor, ME",65.91
"Boston, MA","Buffalo, NY",92.64
"Boston, MA","Charleston, SC",166.42
"Boston, MA","Charlotte Amalie, VI",268.58
"Boston, MA","Charlotte, NC",142.65
"Boston, MA","Chicago, IL",110.69
"Boston, MA","Cincinnati, OH",147.7
"Boston, MA","Cleveland, OH",122.62
"Boston, MA","Columbus, OH",132.27
"Boston, MA","Dallas, TX",197.45
"Boston, MA","Denver, CO",156.93
"Boston, MA","Detroit, MI",135.22
"Boston, MA","Fort Lauderdale, FL",205.59
"Boston, MA","Fort Myers, FL",215.18
"Boston, MA","Greensboro, NC",137.56
"Boston, MA","Houston, TX",205.71
"Boston, MA","Indianapolis, IN",171.06
"Boston, MA","Jacksonville, FL",188.65
"Boston, MA","Las Vegas, NV",175.74
"Boston, MA","Long Beach, CA",209.33
"Boston, MA","Los Angeles, CA",204.27
"Boston, MA","Louisville, KY",173.15
"Boston, MA","Memphis, TN",149.12
"Boston, MA","Miami, FL",199.87
"Boston, MA","Milwaukee, WI",91.85
"Boston, MA","Minneapolis, MN",135.11
"Boston, MA","Myrtle Beach, SC",134.0
"Boston, MA","Nashville, TN",145.0
"Boston, MA","New Orleans, LA",179.5
"Boston, MA","New York, NY",83.82
"Boston, MA","Newark, NJ",103.23
"Boston, MA","Newport News, VA",98.16
"Boston, MA","Norfolk, VA",111.37
"Boston, MA","North Canton, OH",112.07
"Boston, MA","Oakland, CA",213.63
"Boston, MA","Orlando, FL",193.09
"Boston, MA","Philadelphia, PA",99.57
"Boston, MA","Phoenix, AZ",194.88
"Boston, MA","Pittsburgh, PA",109.76
"Boston, MA","Portland, OR",192.04
"Boston, MA","Rdu Airport, NC",125.42
"Boston, MA","Richmond, VA",103.89
"Boston, MA","Saint Louis, MO",122.46
"Boston, MA","Salt Lake City, UT",204.51
"Boston, MA","San Diego, CA",199.53
"Boston, MA","San Francisco, CA",214.11
"Boston, MA","San Jose, CA",211.61
"Boston, MA","San Juan, PR",263.11
"Boston, MA","Sarasota, FL",219.5
"Boston, MA","Savannah, GA",173.95
"Boston, MA","Seattle, WA",184.99
"Boston, MA","Tampa, FL",200.81
"Boston, MA","Washington, DC",101.53
"Boston, MA","West Palm Beach, FL",198.49
"Bozeman, MT","Atlanta, GA",339.29
"Bozeman, MT","Chicago, IL",240.04
"Bozeman, MT","Denver, CO",100.09
"Bozeman, MT","Detroit, MI",309.0
"Bozeman, MT","Minneapolis, MN",206.82
"Bozeman, MT","Salt Lake City, UT",77.98
"Bozeman, MT","San Francisco, CA",109.3
"Brownsville, TX","Houston, TX",81.05
"Brunswick, GA","Atlanta, GA",67.48
"Buffalo, NY","Atlanta, GA",133.1
"Buffalo, NY","BWI Airport, MD",65.04
"Buffalo, NY","Boston, MA",88.51
"Buffalo, NY","Charlotte, NC",116.61
"Buffalo, NY","Chicago, IL",49.14
"Buffalo, NY","Cincinnati, OH",103.86
"Buffalo, NY","Cleveland, OH",60.87
"Buffalo, NY","Dallas, TX",130.5
"Buffalo, NY","Detroit, MI",77.88
"Buffalo, NY","Fort Lauderdale, FL",187.69
"Buffalo, NY","Fort Myers, FL",185.99
"Buffalo, NY","Las Vegas, NV",114.87
"Buffalo, NY","Minneapolis, MN",76.72
"Buffalo, NY","New York, NY",90.95
"Buffalo, NY","Newark, NJ",91.88
"Buffalo, NY","Orlando, FL",157.57
"Buffalo, NY","Philadelphia, PA",89.21
"Buffalo, NY","Phoenix, AZ",136.86
"Buffalo, NY","Tampa, FL",163.15
"Buffalo, NY","Washington, DC",76.14
"Burbank, CA","Dallas, TX",293.87
"Burbank, CA","Denver, CO",194.29
